date,volume_mn,value_cr
2016-04-01,0.0,0.0
2016-05-01,0.0,0.0
2016-06-01,0.0,0.0
2016-07-01,0.09,0.38
2016-08-01,0.09,3.09
2016-09-01,0.09,32.64
2016-10-01,0.1,48.57
2016-11-01,0.29,100.46
2016-12-01,1.99,707.93
2017-01-01,4.46,1696.22
2017-02-01,4.38,1937.71
2017-03-01,6.37,2425.14
2017-04-01,7.2,2271.24
2017-05-01,9.36,2797.07
2017-06-01,10.35,3098.36
2017-07-01,11.63,3411.35
2017-08-01,16.8,4156.62
2017-09-01,30.98,5325.81
2017-10-01,76.96,7057.78
2017-11-01,105.02,9669.33
2017-12-01,145.64,13174.24
2018-01-01,151.83,15571.2
2018-02-01,171.4,19126.2
2018-03-01,178.05,24172.6
2018-04-01,190.08,27021.85
2018-05-01,189.48,33288.51
2018-06-01,246.37,40834.03
2018-08-01,273.75,51843.14
2018-09-01,405.87,59835.36
2018-10-01,482.36,74978.27
2018-11-01,524.94,82232.21
2018-12-01,620.17,102594.82
2019-01-01,672.75,109932.43
2019-02-01,674.19,106737.12
2019-03-01,799.54,133460.72
2019-04-01,781.79,142034.39
2019-05-01,733.54,152449.29
2019-06-01,754.54,146566.35
2019-07-01,822.29,146386.64
2019-08-01,918.35,154504.89
2019-09-01,955.02,161456.56
2019-10-01,1148.36,191359.94
2019-11-01,1218.77,189229.09
2019-12-01,1308.4,202520.76
2020-01-01,1305.02,216242.97
2020-02-01,1325.69,222516.95
2020-03-01,1246.84,206462.31
2020-04-01,999.57,151140.66
2020-05-01,1234.5,218391.6
2020-06-01,1336.93,261835.0
2020-07-01,1497.36,290537.86
2020-08-01,1618.83,298307.61
2020-09-01,1800.14,329027.66
2020-10-01,2071.62,386106.74
2020-11-01,2210.23,390999.15
2020-12-01,2234.16,416176.21
2021-01-01,2302.73,431181.89
2021-02-01,2292.9,425062.76
2021-03-01,2731.68,504886.44
2021-04-01,2641.06,493663.68
2021-05-01,2539.57,490638.65
2021-06-01,2807.51,547373.17
2021-07-01,3247.82,606281.14
2021-08-01,3555.55,639116.95
2021-09-01,3654.3,654351.81
2021-10-01,4218.65,771444.98
2021-11-01,4186.48,768436.11
2021-12-01,4566.3,826848.22
2022-01-01,4617.15,831993.11
2022-02-01,4527.49,826843.0
2022-03-01,5405.65,960581.66
2022-04-01,5583.05,983302.27
2022-05-01,5955.2,1041520.0
2022-06-01,5862.75,1014412.63
2022-07-01,6288.4,1063117.04
2022-08-01,6579.63,1073162.17
2022-09-01,6780.8,1116438.09
2022-10-01,7305.42,1211587.5
2022-11-01,7309.46,1190593.39
2022-12-01,7829.49,1281970.86
2023-01-01,8036.89,1299058.78
2023-02-01,7534.76,1235846.58
2023-03-01,8685.3,1404950.59
2023-04-01,8898.14,1407007.55
2023-05-01,9415.19,1489145.5
2023-06-01,9335.06,1475464.26
2023-07-01,9964.26,1533536.44
2023-08-01,10586.02,1576536.54
2023-09-01,10555.69,1579133.18
2023-10-01,11408.79,1715768.34
2023-11-01,11235.29,1739740.61
2023-12-01,12020.23,1822949.45
2024-01-01,12203.02,1841083.97
2024-02-01,12102.67,1827869.35
2024-03-01,13440.0,1978353.23
2024-06-01,13885.14,2007081.2
2024-07-01,14435.55,2064292.41
2024-08-01,14963.05,2060735.57
2024-09-01,15041.75,2063994.71
2024-10-01,16584.97,2349821.46
2024-11-01,15482.02,2155187.41
2024-12-01,16730.01,2324699.94
2025-01-01,16996.01,2348037.11
2025-02-01,16106.19,2196481.7
2025-03-01,18301.51,2477221.59
2025-06-01,18395.01,2403930.69
2025-07-01,19467.95,2508498.1
2025-08-01,20008.31,2485472.9
2025-09-01,19633.43,2489736.52
2025-10-01,20700.92,2727790.71
2025-11-01,20466.98,2631632.64
2025-12-01,21634.67,2796712.71
2026-01-01,21703.46,2833481.26
2026-02-01,20394.2,2684229.3
2026-03-01,22641.14,2952542.03
2026-04-01,22346.8,2902988.05
2026-05-01,23201.95,2990424.18
2026-06-01,22716.08,2892138.66
2026-07-01,23658.35,2987880.48
2026-08-01,24508.95,2982355.93
2026-09-01,5786.08,786972.63
